Perioden,Regio's,Gemiddelde woningwaarde (1 000 euro)
2011,Súdwest-Fryslân,201
2012,Súdwest-Fryslân,196
2013,Súdwest-Fryslân,185
2014,Súdwest-Fryslân,174
2015,Súdwest-Fryslân,172
2016,Súdwest-Fryslân,175
2017,Súdwest-Fryslân,181
2018**,Súdwest-Fryslân,189
2019*,Súdwest-Fryslân,199
2020*,Súdwest-Fryslân,210
1997,Susteren,94
1998,Susteren,94
1999,Susteren,94
2000,Susteren,94
2001,Susteren,145
2002,Susteren,
2003,Susteren,
2004,Susteren,
2005,Susteren,
2006,Susteren,
2007,Susteren,
2008,Susteren,
2009,Susteren,
2010,Susteren,
2011,Susteren,
2012,Susteren,
2013,Susteren,
2014,Susteren,
2015,Susteren,
2016,Susteren,
2017,Susteren,
2018**,Susteren,
2019*,Susteren,
2020*,Susteren,
1997,Swalmen,81
1998,Swalmen,82
1999,Swalmen,82
2000,Swalmen,83
2001,Swalmen,128
2002,Swalmen,129
2003,Swalmen,130
2004,Swalmen,131
2005,Swalmen,171
2006,Swalmen,172
2007,Swalmen,
2008,Swalmen,
2009,Swalmen,
2010,Swalmen,
2011,Swalmen,
2012,Swalmen,
2013,Swalmen,
2014,Swalmen,
2015,Swalmen,
2016,Swalmen,
2017,Swalmen,
2018**,Swalmen,
2019*,Swalmen,
2020*,Swalmen,
1997,Tegelen,78
1998,Tegelen,78
1999,Tegelen,78
2000,Tegelen,78
2001,Tegelen,
2002,Tegelen,
2003,Tegelen,
2004,Tegelen,
2005,Tegelen,
2006,Tegelen,
2007,Tegelen,
2008,Tegelen,
2009,Tegelen,
2010,Tegelen,
2011,Tegelen,
2012,Tegelen,
2013,Tegelen,
2014,Tegelen,
2015,Tegelen,
2016,Tegelen,
2017,Tegelen,
2018**,Tegelen,
2019*,Tegelen,
2020*,Tegelen,
1997,Terneuzen,56
1998,Terneuzen,56
1999,Terneuzen,58
2000,Terneuzen,58
2001,Terneuzen,80
2002,Terneuzen,81
2003,Terneuzen,83
2004,Terneuzen,84
2005,Terneuzen,131
2006,Terneuzen,132
2007,Terneuzen,146
2008,Terneuzen,154
2009,Terneuzen,160
2010,Terneuzen,163
2011,Terneuzen,162
2012,Terneuzen,161
2013,Terneuzen,158
2014,Terneuzen,157
2015,Terneuzen,157
2016,Terneuzen,159
2017,Terneuzen,162
2018**,Terneuzen,165
2019*,Terneuzen,171
2020*,Terneuzen,182
1997,Terschelling,76
1998,Terschelling,77
1999,Terschelling,77
2000,Terschelling,77
2001,Terschelling,190
2002,Terschelling,190
2003,Terschelling,191
2004,Terschelling,191
2005,Terschelling,269
2006,Terschelling,271
2007,Terschelling,294
2008,Terschelling,305
2009,Terschelling,314
2010,Terschelling,322
2011,Terschelling,321
2012,Terschelling,318
2013,Terschelling,312
2014,Terschelling,297
2015,Terschelling,289
2016,Terschelling,290
2017,Terschelling,301
2018**,Terschelling,309
2019*,Terschelling,321
2020*,Terschelling,332
1997,Texel,96
1998,Texel,96
1999,Texel,96
2000,Texel,97
2001,Texel,137
2002,Texel,138
2003,Texel,139
2004,Texel,140
2005,Texel,224
2006,Texel,225
2007,Texel,250
2008,Texel,262
2009,Texel,276
2010,Texel,278
2011,Texel,269
2012,Texel,269
2013,Texel,264
2014,Texel,258
2015,Texel,258
2016,Texel,263
2017,Texel,286
2018**,Texel,279
2019*,Texel,291
2020*,Texel,310
1997,Teylingen,
1998,Teylingen,
1999,Teylingen,
2000,Teylingen,
2001,Teylingen,
2002,Teylingen,
2003,Teylingen,
2004,Teylingen,
2005,Teylingen,
2006,Teylingen,277
2007,Teylingen,298
2008,Teylingen,311
2009,Teylingen,321
2010,Teylingen,321
2011,Teylingen,316
2012,Teylingen,304
2013,Teylingen,294
2014,Teylingen,285
2015,Teylingen,280
2016,Teylingen,277
2017,Teylingen,286
2018**,Teylingen,297
2019*,Teylingen,320
2020*,Teylingen,346
1997,Tholen,68
1998,Tholen,69
1999,Tholen,69
2000,Tholen,70
2001,Tholen,99
2002,Tholen,100
2003,Tholen,100
2004,Tholen,103
2005,Tholen,162
2006,Tholen,164
2007,Tholen,183
2008,Tholen,198
2009,Tholen,203
2010,Tholen,202
2011,Tholen,199
2012,Tholen,195
2013,Tholen,191
2014,Tholen,185
2015,Tholen,183
2016,Tholen,182
2017,Tholen,186
2018**,Tholen,188
2019*,Tholen,194
2020*,Tholen,201
1997,Thorn,78
1998,Thorn,79
1999,Thorn,79
2000,Thorn,80
2001,Thorn,157
2002,Thorn,158
2003,Thorn,158
2004,Thorn,159
2005,Thorn,220
2006,Thorn,220
2007,Thorn,
2008,Thorn,
2009,Thorn,
2010,Thorn,
2011,Thorn,
2012,Thorn,
2013,Thorn,
2014,Thorn,
2015,Thorn,
2016,Thorn,
2017,Thorn,
2018**,Thorn,
2019*,Thorn,
2020*,Thorn,
1997,Tiel,86
1998,Tiel,87
1999,Tiel,83
2000,Tiel,84
2001,Tiel,121
2002,Tiel,122
2003,Tiel,122
2004,Tiel,129
2005,Tiel,180
2006,Tiel,184
2007,Tiel,197
2008,Tiel,217
2009,Tiel,224
2010,Tiel,230
2011,Tiel,224
2012,Tiel,217
2013,Tiel,207
2014,Tiel,194
2015,Tiel,188
2016,Tiel,189
2017,Tiel,192
2018**,Tiel,198
2019*,Tiel,206
2020*,Tiel,       .
1997,Tilburg,64
1998,Tilburg,65
1999,Tilburg,66
2000,Tilburg,61
2001,Tilburg,107
2002,Tilburg,118
2003,Tilburg,118
2004,Tilburg,119
2005,Tilburg,193
2006,Tilburg,191
2007,Tilburg,206
2008,Tilburg,215
2009,Tilburg,217
2010,Tilburg,218
2011,Tilburg,212
2012,Tilburg,207
2013,Tilburg,199
2014,Tilburg,187
2015,Tilburg,180
2016,Tilburg,181
2017,Tilburg,184
2018**,Tilburg,193
2019*,Tilburg,208
2020*,Tilburg,226
1997,Tubbergen,82
1998,Tubbergen,83
1999,Tubbergen,84
2000,Tubbergen,84
2001,Tubbergen,154
2002,Tubbergen,156
2003,Tubbergen,156
2004,Tubbergen,158
2005,Tubbergen,240
2006,Tubbergen,241
2007,Tubbergen,253
2008,Tubbergen,269
2009,Tubbergen,276
2010,Tubbergen,282
2011,Tubbergen,274
2012,Tubbergen,260
2013,Tubbergen,253
2014,Tubbergen,240
2015,Tubbergen,237
2016,Tubbergen,238
2017,Tubbergen,245
2018**,Tubbergen,257
2019*,Tubbergen,269
2020*,Tubbergen,285
1997,Twenterand,
1998,Twenterand,
1999,Twenterand,
2000,Twenterand,
2001,Twenterand,
2002,Twenterand,
2003,Twenterand,124
2004,Twenterand,125
2005,Twenterand,192
2006,Twenterand,193
2007,Twenterand,208
2008,Twenterand,222
2009,Twenterand,228
2010,Twenterand,232
2011,Twenterand,227
2012,Twenterand,217
2013,Twenterand,212
2014,Twenterand,202
2015,Twenterand,197
2016,Twenterand,195
2017,Twenterand,198
2018**,Twenterand,206
2019*,Twenterand,219
2020*,Twenterand,232
1997,Tynaarlo,
1998,Tynaarlo,
1999,Tynaarlo,
2000,Tynaarlo,99
2001,Tynaarlo,140
2002,Tynaarlo,141
2003,Tynaarlo,141
2004,Tynaarlo,142
2005,Tynaarlo,212
2006,Tynaarlo,213
2007,Tynaarlo,231
2008,Tynaarlo,253
2009,Tynaarlo,262
2010,Tynaarlo,263
2011,Tynaarlo,259
2012,Tynaarlo,256
2013,Tynaarlo,247
2014,Tynaarlo,236
2015,Tynaarlo,233
2016,Tynaarlo,234
2017,Tynaarlo,243
2018**,Tynaarlo,256
2019*,Tynaarlo,269
2020*,Tynaarlo,288
1997,Tytsjerksteradiel,75
1998,Tytsjerksteradiel,75
1999,Tytsjerksteradiel,76
2000,Tytsjerksteradiel,76
2001,Tytsjerksteradiel,113
2002,Tytsjerksteradiel,113
2003,Tytsjerksteradiel,113
2004,Tytsjerksteradiel,114
2005,Tytsjerksteradiel,174
2006,Tytsjerksteradiel,174
2007,Tytsjerksteradiel,194
2008,Tytsjerksteradiel,211
2009,Tytsjerksteradiel,221
2010,Tytsjerksteradiel,222
2011,Tytsjerksteradiel,218
2012,Tytsjerksteradiel,214
2013,Tytsjerksteradiel,206
2014,Tytsjerksteradiel,192
2015,Tytsjerksteradiel,184
2016,Tytsjerksteradiel,183
2017,Tytsjerksteradiel,183
2018**,Tytsjerksteradiel,192
2019*,Tytsjerksteradiel,201
2020*,Tytsjerksteradiel,213
1997,Ubbergen,73
1998,Ubbergen,74
1999,Ubbergen,73
2000,Ubbergen,75
2001,Ubbergen,157
2002,Ubbergen,155
2003,Ubbergen,157
2004,Ubbergen,157
2005,Ubbergen,245
2006,Ubbergen,245
2007,Ubbergen,254
2008,Ubbergen,269
2009,Ubbergen,280
2010,Ubbergen,280
2011,Ubbergen,273
2012,Ubbergen,264
2013,Ubbergen,257
2014,Ubbergen,242
2015,Ubbergen,
2016,Ubbergen,
2017,Ubbergen,
2018**,Ubbergen,
2019*,Ubbergen,
2020*,Ubbergen,
1997,Uden,96
1998,Uden,96
1999,Uden,97
2000,Uden,98
2001,Uden,153
2002,Uden,153
2003,Uden,154
2004,Uden,154
2005,Uden,238
2006,Uden,238
2007,Uden,251
2008,Uden,269
2009,Uden,281
2010,Uden,282
2011,Uden,273
2012,Uden,261
2013,Uden,247
2014,Uden,231
2015,Uden,221
2016,Uden,224
2017,Uden,229
2018**,Uden,237
2019*,Uden,258
2020*,Uden,284
1997,Uitgeest,101
1998,Uitgeest,101
1999,Uitgeest,102
2000,Uitgeest,101
2001,Uitgeest,153
2002,Uitgeest,153
2003,Uitgeest,153
2004,Uitgeest,154
2005,Uitgeest,229
2006,Uitgeest,230
2007,Uitgeest,249
2008,Uitgeest,262
2009,Uitgeest,267
2010,Uitgeest,268
2011,Uitgeest,265
2012,Uitgeest,262
2013,Uitgeest,253
2014,Uitgeest,242
2015,Uitgeest,237
2016,Uitgeest,239
2017,Uitgeest,247
2018**,Uitgeest,260
2019*,Uitgeest,291
2020*,Uitgeest,313
1997,Uithoorn,104
1998,Uithoorn,104
1999,Uithoorn,105
2000,Uithoorn,104
2001,Uithoorn,161
2002,Uithoorn,163
2003,Uithoorn,164
2004,Uithoorn,165
2005,Uithoorn,239
2006,Uithoorn,237
2007,Uithoorn,241
2008,Uithoorn,253
2009,Uithoorn,258
2010,Uithoorn,257
2011,Uithoorn,255
2012,Uithoorn,249
2013,Uithoorn,238
2014,Uithoorn,224
2015,Uithoorn,221
2016,Uithoorn,228
2017,Uithoorn,239
2018**,Uithoorn,258
2019*,Uithoorn,282
2020*,Uithoorn,311
1997,Urk,82
1998,Urk,82
1999,Urk,82
2000,Urk,82
2001,Urk,108
2002,Urk,107
2003,Urk,107
2004,Urk,109
2005,Urk,173
2006,Urk,173
2007,Urk,202
2008,Urk,213
2009,Urk,212
2010,Urk,212
2011,Urk,209
2012,Urk,206
2013,Urk,200
2014,Urk,194
2015,Urk,191
2016,Urk,188
2017,Urk,197
2018**,Urk,210
2019*,Urk,223
2020*,Urk,240
1997,Utrecht (gemeente),79
1998,Utrecht (gemeente),80
1999,Utrecht (gemeente),80
2000,Utrecht (gemeente),80
2001,Utrecht (gemeente),131
2002,Utrecht (gemeente),132
2003,Utrecht (gemeente),133
2004,Utrecht (gemeente),133
2005,Utrecht (gemeente),183
2006,Utrecht (gemeente),184
2007,Utrecht (gemeente),204
2008,Utrecht (gemeente),223
2009,Utrecht (gemeente),243
2010,Utrecht (gemeente),248
2011,Utrecht (gemeente),241
2012,Utrecht (gemeente),240
2013,Utrecht (gemeente),235
2014,Utrecht (gemeente),221
2015,Utrecht (gemeente),211
2016,Utrecht (gemeente),210
2017,Utrecht (gemeente),236
2018**,Utrecht (gemeente),262
2019*,Utrecht (gemeente),294
2020*,Utrecht (gemeente),327
1997,Utrechtse Heuvelrug,
1998,Utrechtse Heuvelrug,
1999,Utrechtse Heuvelrug,
2000,Utrechtse Heuvelrug,
2001,Utrechtse Heuvelrug,
2002,Utrechtse Heuvelrug,
2003,Utrechtse Heuvelrug,
2004,Utrechtse Heuvelrug,
2005,Utrechtse Heuvelrug,
2006,Utrechtse Heuvelrug,292
2007,Utrechtse Heuvelrug,308
2008,Utrechtse Heuvelrug,346
2009,Utrechtse Heuvelrug,358
2010,Utrechtse Heuvelrug,361
2011,Utrechtse Heuvelrug,349
2012,Utrechtse Heuvelrug,336
2013,Utrechtse Heuvelrug,321
2014,Utrechtse Heuvelrug,304
2015,Utrechtse Heuvelrug,295
2016,Utrechtse Heuvelrug,303
2017,Utrechtse Heuvelrug,313
2018**,Utrechtse Heuvelrug,331
2019*,Utrechtse Heuvelrug,349
2020*,Utrechtse Heuvelrug,370
1997,Vaals,85
1998,Vaals,84
1999,Vaals,85
2000,Vaals,85
2001,Vaals,118
2002,Vaals,118
2003,Vaals,119
2004,Vaals,119
2005,Vaals,144
2006,Vaals,144
2007,Vaals,155
2008,Vaals,161
2009,Vaals,163
2010,Vaals,161
2011,Vaals,158
2012,Vaals,155
2013,Vaals,151
2014,Vaals,143
2015,Vaals,141
2016,Vaals,147
2017,Vaals,147
2018**,Vaals,153
2019*,Vaals,155
2020*,Vaals,167
1997,Valburg,105
1998,Valburg,102
1999,Valburg,103
2000,Valburg,103
2001,Valburg,
2002,Valburg,
2003,Valburg,
2004,Valburg,
2005,Valburg,
2006,Valburg,
2007,Valburg,
2008,Valburg,
2009,Valburg,
2010,Valburg,
2011,Valburg,
2012,Valburg,
2013,Valburg,
2014,Valburg,
2015,Valburg,
2016,Valburg,
2017,Valburg,
2018**,Valburg,
2019*,Valburg,
2020*,Valburg,
1997,Valkenburg (ZH.),101
1998,Valkenburg (ZH.),102
1999,Valkenburg (ZH.),98
2000,Valkenburg (ZH.),100
2001,Valkenburg (ZH.),146
2002,Valkenburg (ZH.),
2003,Valkenburg (ZH.),
2004,Valkenburg (ZH.),
2005,Valkenburg (ZH.),
2006,Valkenburg (ZH.),
2007,Valkenburg (ZH.),
2008,Valkenburg (ZH.),
2009,Valkenburg (ZH.),
2010,Valkenburg (ZH.),
2011,Valkenburg (ZH.),
2012,Valkenburg (ZH.),
2013,Valkenburg (ZH.),
2014,Valkenburg (ZH.),
2015,Valkenburg (ZH.),
2016,Valkenburg (ZH.),
2017,Valkenburg (ZH.),
2018**,Valkenburg (ZH.),
2019*,Valkenburg (ZH.),
2020*,Valkenburg (ZH.),
1997,Valkenburg aan de Geul,96
1998,Valkenburg aan de Geul,95
1999,Valkenburg aan de Geul,96
2000,Valkenburg aan de Geul,96
2001,Valkenburg aan de Geul,154
2002,Valkenburg aan de Geul,154
2003,Valkenburg aan de Geul,155
2004,Valkenburg aan de Geul,156
2005,Valkenburg aan de Geul,205
2006,Valkenburg aan de Geul,203
2007,Valkenburg aan de Geul,223
2008,Valkenburg aan de Geul,236
2009,Valkenburg aan de Geul,241
2010,Valkenburg aan de Geul,237
2011,Valkenburg aan de Geul,226
2012,Valkenburg aan de Geul,221
2013,Valkenburg aan de Geul,213
2014,Valkenburg aan de Geul,201
2015,Valkenburg aan de Geul,193
2016,Valkenburg aan de Geul,194
2017,Valkenburg aan de Geul,195
2018**,Valkenburg aan de Geul,200
2019*,Valkenburg aan de Geul,215
2020*,Valkenburg aan de Geul,231
1997,Valkenswaard,85
1998,Valkenswaard,86
1999,Valkenswaard,86
2000,Valkenswaard,86
2001,Valkenswaard,163
2002,Valkenswaard,164
2003,Valkenswaard,164
2004,Valkenswaard,165
2005,Valkenswaard,238
2006,Valkenswaard,238
2007,Valkenswaard,254
2008,Valkenswaard,272
2009,Valkenswaard,284
2010,Valkenswaard,283
2011,Valkenswaard,272
2012,Valkenswaard,268
2013,Valkenswaard,255
2014,Valkenswaard,243
2015,Valkenswaard,236
2016,Valkenswaard,240
2017,Valkenswaard,243
2018**,Valkenswaard,252
2019*,Valkenswaard,264
2020*,Valkenswaard,281
1997,Veendam,61
1998,Veendam,62
1999,Veendam,62
2000,Veendam,63
2001,Veendam,87
2002,Veendam,88
2003,Veendam,89
2004,Veendam,90
2005,Veendam,134
2006,Veendam,135
2007,Veendam,144
2008,Veendam,154
2009,Veendam,158
2010,Veendam,158
2011,Veendam,157
2012,Veendam,155
2013,Veendam,149
2014,Veendam,142
2015,Veendam,141
2016,Veendam,141
2017,Veendam,139
2018**,Veendam,140
2019*,Veendam,144
2020*,Veendam,151
1997,Veenendaal,89
1998,Veenendaal,89
1999,Veenendaal,89
2000,Veenendaal,90
2001,Veenendaal,140
2002,Veenendaal,141
2003,Veenendaal,141
2004,Veenendaal,141
2005,Veenendaal,207
2006,Veenendaal,208
2007,Veenendaal,223
2008,Veenendaal,236
2009,Veenendaal,245
2010,Veenendaal,251
2011,Veenendaal,243
2012,Veenendaal,239
2013,Veenendaal,224
2014,Veenendaal,210
2015,Veenendaal,201
2016,Veenendaal,205
2017,Veenendaal,208
2018**,Veenendaal,218
2019*,Veenendaal,234
2020*,Veenendaal,254
1997,Veere,89
1998,Veere,90
1999,Veere,90
2000,Veere,92
2001,Veere,130
2002,Veere,131
2003,Veere,133
2004,Veere,134
2005,Veere,207
2006,Veere,208
2007,Veere,248
2008,Veere,271
2009,Veere,277
2010,Veere,279
2011,Veere,280
2012,Veere,275
2013,Veere,269
2014,Veere,261
2015,Veere,258
2016,Veere,257
2017,Veere,261
2018**,Veere,266
2019*,Veere,282
2020*,Veere,297
1997,Veghel,101
1998,Veghel,101
1999,Veghel,101
2000,Veghel,101
2001,Veghel,149
2002,Veghel,153
2003,Veghel,153
2004,Veghel,156
2005,Veghel,258
2006,Veghel,258
2007,Veghel,273
2008,Veghel,292
2009,Veghel,300
2010,Veghel,305
2011,Veghel,301
2012,Veghel,283
2013,Veghel,269
2014,Veghel,248
2015,Veghel,235
2016,Veghel,228
2017,Veghel,
2018**,Veghel,
2019*,Veghel,
2020*,Veghel,
1997,Veldhoven,90
1998,Veldhoven,89
1999,Veldhoven,90
2000,Veldhoven,90
2001,Veldhoven,165
2002,Veldhoven,165
2003,Veldhoven,165
2004,Veldhoven,167
2005,Veldhoven,245
2006,Veldhoven,245
2007,Veldhoven,257
2008,Veldhoven,272
2009,Veldhoven,283
2010,Veldhoven,292
2011,Veldhoven,284
2012,Veldhoven,279
2013,Veldhoven,267
2014,Veldhoven,254
2015,Veldhoven,246
2016,Veldhoven,251
2017,Veldhoven,262
2018**,Veldhoven,278
2019*,Veldhoven,301
2020*,Veldhoven,324
1997,Velsen,85
1998,Velsen,86
1999,Velsen,86
2000,Velsen,87
2001,Velsen,133
2002,Velsen,134
2003,Velsen,134
2004,Velsen,135
2005,Velsen,212
2006,Velsen,214
2007,Velsen,229
2008,Velsen,240
2009,Velsen,249
2010,Velsen,251
2011,Velsen,245
2012,Velsen,240
2013,Velsen,231
2014,Velsen,220
2015,Velsen,212
2016,Velsen,218
2017,Velsen,227
2018**,Velsen,243
2019*,Velsen,266
2020*,Velsen,288
1997,Venhuizen,81
1998,Venhuizen,81
1999,Venhuizen,83
2000,Venhuizen,83
2001,Venhuizen,157
2002,Venhuizen,
2003,Venhuizen,
2004,Venhuizen,
2005,Venhuizen,
2006,Venhuizen,
2007,Venhuizen,
2008,Venhuizen,
2009,Venhuizen,
2010,Venhuizen,
2011,Venhuizen,
2012,Venhuizen,
2013,Venhuizen,
2014,Venhuizen,
2015,Venhuizen,
2016,Venhuizen,
2017,Venhuizen,
2018**,Venhuizen,
2019*,Venhuizen,
2020*,Venhuizen,
1997,Venlo,61
1998,Venlo,61
1999,Venlo,61
2000,Venlo,63
2001,Venlo,116
2002,Venlo,117
2003,Venlo,117
2004,Venlo,118
2005,Venlo,160
2006,Venlo,160
2007,Venlo,195
2008,Venlo,193
2009,Venlo,195
2010,Venlo,200
2011,Venlo,194
2012,Venlo,188
2013,Venlo,182
2014,Venlo,176
2015,Venlo,170
2016,Venlo,175
2017,Venlo,177
2018**,Venlo,188
2019*,Venlo,197
2020*,Venlo,213
1997,Venray,72
1998,Venray,72
1999,Venray,73
2000,Venray,74
2001,Venray,138
2002,Venray,139
2003,Venray,140
2004,Venray,141
2005,Venray,200
2006,Venray,202
2007,Venray,216
2008,Venray,233
2009,Venray,236
2010,Venray,240
2011,Venray,234
2012,Venray,228
2013,Venray,223
2014,Venray,213
2015,Venray,207
2016,Venray,204
2017,Venray,238
2018**,Venray,216
2019*,Venray,222
2020*,Venray,235
1997,Vianen,82
1998,Vianen,83
1999,Vianen,83
2000,Vianen,83
2001,Vianen,143
2002,Vianen,145
2003,Vianen,138
2004,Vianen,138
2005,Vianen,204
2006,Vianen,204
2007,Vianen,218
2008,Vianen,234
2009,Vianen,239
2010,Vianen,242
2011,Vianen,240
2012,Vianen,236
2013,Vianen,228
2014,Vianen,218
2015,Vianen,212
2016,Vianen,212
2017,Vianen,219
2018**,Vianen,229
2019*,Vianen,
2020*,Vianen,
1997,Vierlingsbeek,104
1998,Vierlingsbeek,
1999,Vierlingsbeek,
2000,Vierlingsbeek,
2001,Vierlingsbeek,
2002,Vierlingsbeek,
2003,Vierlingsbeek,
2004,Vierlingsbeek,
2005,Vierlingsbeek,
2006,Vierlingsbeek,
2007,Vierlingsbeek,
2008,Vierlingsbeek,
2009,Vierlingsbeek,
2010,Vierlingsbeek,
2011,Vierlingsbeek,
2012,Vierlingsbeek,
2013,Vierlingsbeek,
2014,Vierlingsbeek,
2015,Vierlingsbeek,
2016,Vierlingsbeek,
2017,Vierlingsbeek,
2018**,Vierlingsbeek,
2019*,Vierlingsbeek,
2020*,Vierlingsbeek,
1997,Vijfheerenlanden,
1998,Vijfheerenlanden,
1999,Vijfheerenlanden,
2000,Vijfheerenlanden,
2001,Vijfheerenlanden,
2002,Vijfheerenlanden,
2003,Vijfheerenlanden,
2004,Vijfheerenlanden,
2005,Vijfheerenlanden,
2006,Vijfheerenlanden,
2007,Vijfheerenlanden,
2008,Vijfheerenlanden,
2009,Vijfheerenlanden,
2010,Vijfheerenlanden,
2011,Vijfheerenlanden,
2012,Vijfheerenlanden,
2013,Vijfheerenlanden,
2014,Vijfheerenlanden,
2015,Vijfheerenlanden,
2016,Vijfheerenlanden,
2017,Vijfheerenlanden,
2018**,Vijfheerenlanden,
2019*,Vijfheerenlanden,242
2020*,Vijfheerenlanden,256
1997,Vlaardingen,62
1998,Vlaardingen,62
1999,Vlaardingen,63
2000,Vlaardingen,63
2001,Vlaardingen,98
2002,Vlaardingen,99
2003,Vlaardingen,99
2004,Vlaardingen,99
2005,Vlaardingen,152
2006,Vlaardingen,153
2007,Vlaardingen,166
2008,Vlaardingen,173
2009,Vlaardingen,178
2010,Vlaardingen,180
2011,Vlaardingen,178
2012,Vlaardingen,174
2013,Vlaardingen,170
2014,Vlaardingen,164
2015,Vlaardingen,159
2016,Vlaardingen,159
2017,Vlaardingen,163
2018**,Vlaardingen,169
2019*,Vlaardingen,183
2020*,Vlaardingen,202
1997,Vlagtwedde,60
1998,Vlagtwedde,61
1999,Vlagtwedde,62
2000,Vlagtwedde,63
2001,Vlagtwedde,93
2002,Vlagtwedde,94
2003,Vlagtwedde,95
2004,Vlagtwedde,96
2005,Vlagtwedde,152
2006,Vlagtwedde,153
2007,Vlagtwedde,169
2008,Vlagtwedde,180
2009,Vlagtwedde,190
2010,Vlagtwedde,195
2011,Vlagtwedde,189
2012,Vlagtwedde,188
2013,Vlagtwedde,179
2014,Vlagtwedde,171
2015,Vlagtwedde,165
2016,Vlagtwedde,166
2017,Vlagtwedde,170
2018**,Vlagtwedde,
2019*,Vlagtwedde,
2020*,Vlagtwedde,
1997,Vledder,74
1998,Vledder,
1999,Vledder,
2000,Vledder,
2001,Vledder,
2002,Vledder,
2003,Vledder,
2004,Vledder,
2005,Vledder,
2006,Vledder,
2007,Vledder,
2008,Vledder,
2009,Vledder,
2010,Vledder,
2011,Vledder,
2012,Vledder,
2013,Vledder,
2014,Vledder,
2015,Vledder,
2016,Vledder,
2017,Vledder,
2018**,Vledder,
2019*,Vledder,
2020*,Vledder,
1997,Vleuten-De Meern,104
1998,Vleuten-De Meern,105
1999,Vleuten-De Meern,105
2000,Vleuten-De Meern,106
2001,Vleuten-De Meern,
2002,Vleuten-De Meern,
2003,Vleuten-De Meern,
2004,Vleuten-De Meern,
2005,Vleuten-De Meern,
2006,Vleuten-De Meern,
2007,Vleuten-De Meern,
2008,Vleuten-De Meern,
2009,Vleuten-De Meern,
2010,Vleuten-De Meern,
2011,Vleuten-De Meern,
2012,Vleuten-De Meern,
2013,Vleuten-De Meern,
2014,Vleuten-De Meern,
2015,Vleuten-De Meern,
2016,Vleuten-De Meern,
2017,Vleuten-De Meern,
2018**,Vleuten-De Meern,
2019*,Vleuten-De Meern,
2020*,Vleuten-De Meern,
1997,Vlieland,88
1998,Vlieland,88
1999,Vlieland,87
2000,Vlieland,89
2001,Vlieland,147
2002,Vlieland,147
2003,Vlieland,143
2004,Vlieland,143
2005,Vlieland,213
2006,Vlieland,212
2007,Vlieland,242
2008,Vlieland,265
2009,Vlieland,280
2010,Vlieland,280
2011,Vlieland,277
2012,Vlieland,270
2013,Vlieland,250
2014,Vlieland,242
2015,Vlieland,223
2016,Vlieland,238
2017,Vlieland,260
2018**,Vlieland,260
2019*,Vlieland,268
2020*,Vlieland,271
1997,Vlissingen,71
1998,Vlissingen,70
1999,Vlissingen,70
2000,Vlissingen,66
2001,Vlissingen,92
2002,Vlissingen,92
2003,Vlissingen,87
2004,Vlissingen,87
2005,Vlissingen,136
2006,Vlissingen,137
2007,Vlissingen,155
2008,Vlissingen,165
2009,Vlissingen,169
2010,Vlissingen,170
2011,Vlissingen,166
2012,Vlissingen,171
2013,Vlissingen,164
2014,Vlissingen,154
2015,Vlissingen,148
2016,Vlissingen,148
2017,Vlissingen,151
2018**,Vlissingen,154
2019*,Vlissingen,159
2020*,Vlissingen,167
1997,Vlist,100
1998,Vlist,100
1999,Vlist,101
2000,Vlist,102
2001,Vlist,186
2002,Vlist,187
2003,Vlist,188
2004,Vlist,189
2005,Vlist,270
2006,Vlist,271
2007,Vlist,290
2008,Vlist,309
2009,Vlist,319
2010,Vlist,323
2011,Vlist,309
2012,Vlist,304
2013,Vlist,289
2014,Vlist,277
2015,Vlist,
2016,Vlist,
2017,Vlist,
2018**,Vlist,
2019*,Vlist,
2020*,Vlist,
1997,Voerendaal,80
1998,Voerendaal,80
1999,Voerendaal,79
2000,Voerendaal,80
2001,Voerendaal,154
2002,Voerendaal,155
2003,Voerendaal,154
2004,Voerendaal,154
2005,Voerendaal,210
2006,Voerendaal,210
2007,Voerendaal,224
2008,Voerendaal,222
2009,Voerendaal,228
2010,Voerendaal,232
2011,Voerendaal,226
2012,Voerendaal,223
2013,Voerendaal,218
2014,Voerendaal,205
2015,Voerendaal,202
2016,Voerendaal,208
2017,Voerendaal,210
2018**,Voerendaal,222
2019*,Voerendaal,235
2020*,Voerendaal,254
1997,Voorburg,87
1998,Voorburg,86
1999,Voorburg,87
2000,Voorburg,87
2001,Voorburg,135
2002,Voorburg,
2003,Voorburg,
2004,Voorburg,
2005,Voorburg,
2006,Voorburg,
2007,Voorburg,
2008,Voorburg,
2009,Voorburg,
2010,Voorburg,
2011,Voorburg,
2012,Voorburg,
2013,Voorburg,
2014,Voorburg,
2015,Voorburg,
2016,Voorburg,
2017,Voorburg,
2018**,Voorburg,
2019*,Voorburg,
2020*,Voorburg,
1997,Voorhout,114
1998,Voorhout,116
1999,Voorhout,117
2000,Voorhout,122
2001,Voorhout,178
2002,Voorhout,
2003,Voorhout,
2004,Voorhout,
2005,Voorhout,
2006,Voorhout,
2007,Voorhout,
2008,Voorhout,
2009,Voorhout,
2010,Voorhout,
2011,Voorhout,
2012,Voorhout,
2013,Voorhout,
2014,Voorhout,
2015,Voorhout,
2016,Voorhout,
2017,Voorhout,
2018**,Voorhout,
2019*,Voorhout,
2020*,Voorhout,
