,Onderwerp,Totale woningvoorraad,Totale woningvoorraad,Totale woningvoorraad
,Status van bewoning,Totaal,Bewoonde woningen,Niet bewoonde woningen
Regio's,Perioden,aantal,aantal,aantal
Geertruidenberg,2014,9542,9116,426
Geertruidenberg,2015,9560,9177,383
Geertruidenberg,2016,9553,9238,315
Geertruidenberg,2017,9594,9254,340
Geertruidenberg,2018,9614,9301,313
Geertruidenberg,2019,9638,9304,334
Geertruidenberg,2020,9639,9328,311
Geertruidenberg,2021,9648,9326,322
Geertruidenberg,2022,9843,9471,372
Geertruidenberg,2023,10120,9714,406
Geldermalsen,2012,10371,9973,398
Geldermalsen,2013,10369,9999,370
Geldermalsen,2014,10504,10135,369
Geldermalsen,2015,10561,10192,369
Geldermalsen,2016,10630,10243,387
Geldermalsen,2017,10808,10381,427
Geldermalsen,2018,10940,10499,441
Geldermalsen,2019,,,
Geldermalsen,2020,,,
Geldermalsen,2021,,,
Geldermalsen,2022,,,
Geldermalsen,2023,,,
Geldrop-Mierlo,2012,17105,16514,591
Geldrop-Mierlo,2013,17157,16577,580
Geldrop-Mierlo,2014,17217,16691,526
Geldrop-Mierlo,2015,17269,16720,549
Geldrop-Mierlo,2016,17305,16798,507
Geldrop-Mierlo,2017,17354,16893,461
Geldrop-Mierlo,2018,17429,16956,473
Geldrop-Mierlo,2019,17640,17152,488
Geldrop-Mierlo,2020,17746,17233,513
Geldrop-Mierlo,2021,18078,17452,626
Geldrop-Mierlo,2022,18120,17643,477
Geldrop-Mierlo,2023,18308,17715,593
Gemert-Bakel,2012,11772,11125,647
Gemert-Bakel,2013,12042,11418,624
Gemert-Bakel,2014,12224,11575,649
Gemert-Bakel,2015,12334,11729,605
Gemert-Bakel,2016,12451,11920,531
Gemert-Bakel,2017,12597,12081,516
Gemert-Bakel,2018,12683,12237,446
Gemert-Bakel,2019,12754,12328,426
Gemert-Bakel,2020,12635,12205,430
Gemert-Bakel,2021,12649,12298,351
Gemert-Bakel,2022,12859,12489,370
Gemert-Bakel,2023,12989,12613,376
Gennep,2012,7088,6779,309
Gennep,2013,7199,6860,339
Gennep,2014,7236,6904,332
Gennep,2015,7324,7050,274
Gennep,2016,7277,6993,284
Gennep,2017,7361,7090,271
Gennep,2018,7387,7111,276
Gennep,2019,7408,7153,255
Gennep,2020,7450,7166,284
Gennep,2021,7490,7188,302
Gennep,2022,7579,7314,265
Gennep,2023,7705,7396,309
Giessenlanden,2012,5737,5473,264
Giessenlanden,2013,5726,5489,237
Giessenlanden,2014,5714,5519,195
Giessenlanden,2015,5826,5595,231
Giessenlanden,2016,5883,5680,203
Giessenlanden,2017,5909,5705,204
Giessenlanden,2018,5926,5721,205
Giessenlanden,2019,,,
Giessenlanden,2020,,,
Giessenlanden,2021,,,
Giessenlanden,2022,,,
Giessenlanden,2023,,,
Gilze en Rijen,2012,10237,9648,589
Gilze en Rijen,2013,10757,10248,509
Gilze en Rijen,2014,11067,10495,572
Gilze en Rijen,2015,11076,10573,503
Gilze en Rijen,2016,11138,10634,504
Gilze en Rijen,2017,11149,10678,471
Gilze en Rijen,2018,11199,10783,416
Gilze en Rijen,2019,11270,10911,359
Gilze en Rijen,2020,11301,10962,339
Gilze en Rijen,2021,11392,11014,378
Gilze en Rijen,2022,11403,11070,333
Gilze en Rijen,2023,11508,11092,416
Goedereede,2012,4788,4342,446
Goedereede,2013,,,
Goedereede,2014,,,
Goedereede,2015,,,
Goedereede,2016,,,
Goedereede,2017,,,
Goedereede,2018,,,
Goedereede,2019,,,
Goedereede,2020,,,
Goedereede,2021,,,
Goedereede,2022,,,
Goedereede,2023,,,
Goeree-Overflakkee,2012,,,
Goeree-Overflakkee,2013,20182,19007,1175
Goeree-Overflakkee,2014,20574,19377,1197
Goeree-Overflakkee,2015,20845,19678,1167
Goeree-Overflakkee,2016,20915,19827,1088
Goeree-Overflakkee,2017,21089,20029,1060
Goeree-Overflakkee,2018,21374,20295,1079
Goeree-Overflakkee,2019,21597,20509,1088
Goeree-Overflakkee,2020,21855,20712,1143
Goeree-Overflakkee,2021,22098,21053,1045
Goeree-Overflakkee,2022,22329,21384,945
Goeree-Overflakkee,2023,22564,21534,1030
Goes,2012,17321,16061,1260
Goes,2013,17410,16277,1133
Goes,2014,17548,16436,1112
Goes,2015,17684,16570,1114
Goes,2016,17748,16669,1079
Goes,2017,17939,16804,1135
Goes,2018,18062,16969,1093
Goes,2019,18251,17148,1103
Goes,2020,18553,17375,1178
Goes,2021,18633,17628,1005
Goes,2022,18866,17891,975
Goes,2023,19076,18107,969
Goirle,2012,9703,9346,357
Goirle,2013,9792,9453,339
Goirle,2014,9843,9613,230
Goirle,2015,9859,9595,264
Goirle,2016,9906,9610,296
Goirle,2017,9961,9696,265
Goirle,2018,10164,9864,300
Goirle,2019,10291,9971,320
Goirle,2020,10363,10064,299
Goirle,2021,10423,10121,302
Goirle,2022,10460,10185,275
Goirle,2023,10561,10246,315
Gooise Meren,2012,,,
Gooise Meren,2013,,,
Gooise Meren,2014,,,
Gooise Meren,2015,,,
Gooise Meren,2016,26133,24800,1333
Gooise Meren,2017,26249,24875,1374
Gooise Meren,2018,26342,25037,1305
Gooise Meren,2019,26508,25189,1319
Gooise Meren,2020,26679,25340,1339
Gooise Meren,2021,26896,25579,1317
Gooise Meren,2022,27037,25722,1315
Gooise Meren,2023,27590,26131,1459
Gorinchem,2012,15569,14717,852
Gorinchem,2013,15622,14730,892
Gorinchem,2014,16019,15214,805
Gorinchem,2015,15980,15277,703
Gorinchem,2016,16092,15342,750
Gorinchem,2017,16300,15534,766
Gorinchem,2018,16392,15698,694
Gorinchem,2019,16599,15858,741
Gorinchem,2020,17210,16318,892
Gorinchem,2021,17288,16567,721
Gorinchem,2022,17545,16730,815
Gorinchem,2023,17789,16918,871
Gouda,2012,30704,29609,1095
Gouda,2013,31067,29789,1278
Gouda,2014,31542,30143,1399
Gouda,2015,31694,30397,1297
Gouda,2016,31868,30611,1257
Gouda,2017,32131,30946,1185
Gouda,2018,32758,31630,1128
Gouda,2019,33174,32085,1089
Gouda,2020,33439,32322,1117
Gouda,2021,33725,32628,1097
Gouda,2022,34065,33025,1040
Gouda,2023,34477,33417,1060
Graafstroom,2012,3519,3289,230
Graafstroom,2013,,,
Graafstroom,2014,,,
Graafstroom,2015,,,
Graafstroom,2016,,,
Graafstroom,2017,,,
Graafstroom,2018,,,
Graafstroom,2019,,,
Graafstroom,2020,,,
Graafstroom,2021,,,
Graafstroom,2022,,,
Graafstroom,2023,,,
Graft-De Rijp,2012,2572,2486,86
Graft-De Rijp,2013,2585,2503,82
Graft-De Rijp,2014,2591,2519,72
Graft-De Rijp,2015,,,
Graft-De Rijp,2016,,,
Graft-De Rijp,2017,,,
Graft-De Rijp,2018,,,
Graft-De Rijp,2019,,,
Graft-De Rijp,2020,,,
Graft-De Rijp,2021,,,
Graft-De Rijp,2022,,,
Graft-De Rijp,2023,,,
Grave,2012,5083,4897,186
Grave,2013,5089,4929,160
Grave,2014,5142,4934,208
Grave,2015,5294,5103,191
Grave,2016,5304,5145,159
Grave,2017,5305,5152,153
Grave,2018,5419,5199,220
Grave,2019,5446,5243,203
Grave,2020,5465,5254,211
Grave,2021,5492,5242,250
Grave,2022,,,
Grave,2023,,,
's-Gravenhage (gemeente),2012,241376,219180,22196
's-Gravenhage (gemeente),2013,244880,222196,22684
's-Gravenhage (gemeente),2014,249994,225202,24792
's-Gravenhage (gemeente),2015,251374,227464,23910
's-Gravenhage (gemeente),2016,253210,230398,22812
's-Gravenhage (gemeente),2017,255103,233080,22023
's-Gravenhage (gemeente),2018,256694,236950,19744
's-Gravenhage (gemeente),2019,259264,239336,19928
's-Gravenhage (gemeente),2020,262492,242536,19956
's-Gravenhage (gemeente),2021,265959,245337,20622
's-Gravenhage (gemeente),2022,267654,248710,18944
's-Gravenhage (gemeente),2023,270220,252226,17994
Groesbeek,2012,7655,7251,404
Groesbeek,2013,8160,7569,591
Groesbeek,2014,8118,7713,405
Groesbeek,2015,15093,14422,671
Groesbeek,2016,,,
Groesbeek,2017,,,
Groesbeek,2018,,,
Groesbeek,2019,,,
Groesbeek,2020,,,
Groesbeek,2021,,,
Groesbeek,2022,,,
Groesbeek,2023,,,
Groningen (gemeente),2012,93324,88482,4842
Groningen (gemeente),2013,95291,89953,5338
Groningen (gemeente),2014,97031,92047,4984
Groningen (gemeente),2015,97905,93526,4379
Groningen (gemeente),2016,99250,94965,4285
Groningen (gemeente),2017,101169,96922,4247
Groningen (gemeente),2018,100946,96949,3997
Groningen (gemeente),2019,114733,109868,4865
Groningen (gemeente),2020,116445,111541,4904
Groningen (gemeente),2021,118922,113845,5077
Groningen (gemeente),2022,120703,115392,5311
Groningen (gemeente),2023,122715,116976,5739
Grootegast,2012,4699,4533,166
Grootegast,2013,4825,4667,158
Grootegast,2014,4857,4692,165
Grootegast,2015,4938,4742,196
Grootegast,2016,4946,4805,141
Grootegast,2017,4982,4831,151
Grootegast,2018,5007,4855,152
Grootegast,2019,,,
Grootegast,2020,,,
Grootegast,2021,,,
Grootegast,2022,,,
Grootegast,2023,,,
Gulpen-Wittem,2012,6362,5797,565
Gulpen-Wittem,2013,6636,6029,607
Gulpen-Wittem,2014,6818,6172,646
Gulpen-Wittem,2015,6840,6199,641
Gulpen-Wittem,2016,6789,6201,588
Gulpen-Wittem,2017,6791,6229,562
Gulpen-Wittem,2018,6784,6203,581
Gulpen-Wittem,2019,6821,6252,569
Gulpen-Wittem,2020,6867,6298,569
Gulpen-Wittem,2021,6880,6343,537
Gulpen-Wittem,2022,6887,6360,527
Gulpen-Wittem,2023,6892,6350,542
Haaksbergen,2012,9790,9340,450
Haaksbergen,2013,9904,9424,480
Haaksbergen,2014,10072,9610,462
Haaksbergen,2015,10134,9697,437
Haaksbergen,2016,10162,9760,402
Haaksbergen,2017,10195,9775,420
Haaksbergen,2018,10315,9840,475
Haaksbergen,2019,10410,9932,478
Haaksbergen,2020,10497,9992,505
Haaksbergen,2021,10571,10017,554
Haaksbergen,2022,10585,10115,470
Haaksbergen,2023,10666,10169,497
Haaren,2012,5121,4852,269
Haaren,2013,5263,4974,289
Haaren,2014,5315,5011,304
Haaren,2015,5317,5020,297
Haaren,2016,5429,5079,350
Haaren,2017,5525,5237,288
Haaren,2018,5805,5561,244
Haaren,2019,5904,5638,266
Haaren,2020,5957,5752,205
Haaren,2021,,,
Haaren,2022,,,
Haaren,2023,,,
Haarlem,2012,71173,67704,3469
Haarlem,2013,71725,68405,3320
Haarlem,2014,72356,69316,3040
Haarlem,2015,73230,70083,3147
Haarlem,2016,73674,70701,2973
Haarlem,2017,74037,71085,2952
Haarlem,2018,74796,71622,3174
Haarlem,2019,75633,72323,3310
Haarlem,2020,76436,73230,3206
Haarlem,2021,77201,73566,3635
Haarlem,2022,77499,74080,3419
Haarlem,2023,78000,74691,3309
Haarlemmerliede en Spaarnwoude,2012,2200,2081,119
Haarlemmerliede en Spaarnwoude,2013,2247,2127,120
Haarlemmerliede en Spaarnwoude,2014,2264,2155,109
Haarlemmerliede en Spaarnwoude,2015,2276,2179,97
Haarlemmerliede en Spaarnwoude,2016,2281,2186,95
Haarlemmerliede en Spaarnwoude,2017,2312,2212,100
Haarlemmerliede en Spaarnwoude,2018,2357,2258,99
Haarlemmerliede en Spaarnwoude,2019,,,
Haarlemmerliede en Spaarnwoude,2020,,,
Haarlemmerliede en Spaarnwoude,2021,,,
Haarlemmerliede en Spaarnwoude,2022,,,
Haarlemmerliede en Spaarnwoude,2023,,,
Haarlemmermeer,2012,58757,56306,2451
Haarlemmermeer,2013,58925,56543,2382
Haarlemmermeer,2014,59214,56838,2376
Haarlemmermeer,2015,59292,57248,2044
Haarlemmermeer,2016,59699,57529,2170
Haarlemmermeer,2017,60085,58209,1876
Haarlemmermeer,2018,60622,58737,1885
Haarlemmermeer,2019,63511,61377,2134
Haarlemmermeer,2020,64195,62106,2089
Haarlemmermeer,2021,65214,63114,2100
Haarlemmermeer,2022,65840,63922,1918
Haarlemmermeer,2023,66659,64446,2213
Halderberge,2012,12664,12042,622
Halderberge,2013,13034,12202,832
Halderberge,2014,12933,12273,660
Halderberge,2015,12991,12432,559
Halderberge,2016,13027,12539,488
Halderberge,2017,13060,12528,532
Halderberge,2018,13093,12612,481
Halderberge,2019,13310,12823,487
Halderberge,2020,13399,12936,463
Halderberge,2021,13488,13015,473
Halderberge,2022,13576,13167,409
Halderberge,2023,13702,13242,460
Hardenberg,2012,23260,22176,1084
Hardenberg,2013,23396,22371,1025
Hardenberg,2014,23554,22501,1053
Hardenberg,2015,23662,22718,944
Hardenberg,2016,23864,22966,898
Hardenberg,2017,24113,23252,861
Hardenberg,2018,24316,23496,820
Hardenberg,2019,24513,23701,812
Hardenberg,2020,24810,23964,846
Hardenberg,2021,25177,24281,896
Hardenberg,2022,25410,24513,897
Hardenberg,2023,25844,24886,958
Harderwijk,2012,18433,17707,726
Harderwijk,2013,18517,17835,682
Harderwijk,2014,18562,17899,663
Harderwijk,2015,18712,18088,624
Harderwijk,2016,18873,18245,628
Harderwijk,2017,19185,18511,674
Harderwijk,2018,19289,18618,671
Harderwijk,2019,19450,18853,597
Harderwijk,2020,19942,19300,642
Harderwijk,2021,20677,19920,757
Harderwijk,2022,21143,20380,763
Harderwijk,2023,21553,20478,1075
Hardinxveld-Giessendam,2012,7012,6667,345
Hardinxveld-Giessendam,2013,7047,6737,310
Hardinxveld-Giessendam,2014,7058,6788,270
Hardinxveld-Giessendam,2015,7074,6797,277
Hardinxveld-Giessendam,2016,7131,6849,282
Hardinxveld-Giessendam,2017,7212,6894,318
Hardinxveld-Giessendam,2018,7248,6966,282
Hardinxveld-Giessendam,2019,7313,7015,298
Hardinxveld-Giessendam,2020,7451,7083,368
Hardinxveld-Giessendam,2021,7514,7171,343
Hardinxveld-Giessendam,2022,7522,7223,299
Hardinxveld-Giessendam,2023,7550,7234,316
Haren,2012,8497,8052,445
Haren,2013,8531,8089,442
Haren,2014,8628,8182,446
Haren,2015,8615,8222,393
Haren,2016,8612,8242,370
Haren,2017,8738,8388,350
Haren,2018,8925,8533,392
Haren,2019,,,
Haren,2020,,,
Haren,2021,,,
Haren,2022,,,
Haren,2023,,,
Harenkarspel,2012,6246,6039,207
Harenkarspel,2013,,,
Harenkarspel,2014,,,
Harenkarspel,2015,,,
Harenkarspel,2016,,,
Harenkarspel,2017,,,
Harenkarspel,2018,,,
Harenkarspel,2019,,,
Harenkarspel,2020,,,
Harenkarspel,2021,,,
Harenkarspel,2022,,,
Harenkarspel,2023,,,
Harlingen,2012,7371,7008,363
Harlingen,2013,7390,7018,372
Harlingen,2014,7425,7081,344
Harlingen,2015,7477,7140,337
Harlingen,2016,7533,7169,364
Harlingen,2017,7561,7198,363
Harlingen,2018,7621,7162,459
Harlingen,2019,7627,7226,401
Harlingen,2020,7798,7305,493
Harlingen,2021,7909,7383,526
Harlingen,2022,7841,7438,403
Harlingen,2023,8035,7587,448
Hattem,2012,5035,4772,263
Hattem,2013,5128,4812,316
Hattem,2014,5052,4826,226
Hattem,2015,5160,4905,255
Hattem,2016,5240,4932,308
Hattem,2017,5270,5004,266
Hattem,2018,5284,5049,235
Hattem,2019,5277,5064,213
Hattem,2020,5298,5093,205
Hattem,2021,5262,5108,154
Hattem,2022,5407,5147,260
Hattem,2023,5467,5286,181
Heemskerk,2012,17035,16476,559
Heemskerk,2013,17012,16485,527
Heemskerk,2014,17273,16683,590
Heemskerk,2015,17361,16834,527
Heemskerk,2016,17457,17011,446
Heemskerk,2017,17513,17035,478
Heemskerk,2018,17439,17015,424
Heemskerk,2019,17501,17004,497
Heemskerk,2020,17578,17074,504
Heemskerk,2021,17607,17146,461
Heemskerk,2022,17684,17214,470
Heemskerk,2023,17882,17340,542
Heemstede,2012,11751,11246,505
Heemstede,2013,11813,11289,524
Heemstede,2014,12247,11635,612
Heemstede,2015,12321,11764,557
Heemstede,2016,12520,11932,588
Heemstede,2017,12511,11961,550
Heemstede,2018,12561,12014,547
Heemstede,2019,12587,12066,521
Heemstede,2020,12628,12036,592
Heemstede,2021,12817,12170,647
Heemstede,2022,12821,12237,584
Heemstede,2023,12863,12288,575
Heerde,2012,7402,7106,296
Heerde,2013,7580,7217,363
Heerde,2014,7756,7414,342
Heerde,2015,7782,7484,298
Heerde,2016,7803,7504,299
Heerde,2017,7810,7535,275
Heerde,2018,7815,7545,270
Heerde,2019,7888,7566,322
Heerde,2020,7924,7647,277
Heerde,2021,8017,7693,324
Heerde,2022,8173,7861,312
Heerde,2023,8195,7899,296
Heerenveen,2012,19712,18678,1034
Heerenveen,2013,19709,18757,952
Heerenveen,2014,22974,21902,1072
Heerenveen,2015,23134,22018,1116
Heerenveen,2016,23230,22126,1104
Heerenveen,2017,23250,22172,1078
Heerenveen,2018,23367,22282,1085
Heerenveen,2019,23532,22316,1216
Heerenveen,2020,23528,22601,927
Heerenveen,2021,23767,22650,1117
Heerenveen,2022,23895,22924,971
Heerenveen,2023,24010,23121,889
Heerhugowaard,2012,21273,20773,500
Heerhugowaard,2013,21493,21004,489
Heerhugowaard,2014,21959,21411,548
Heerhugowaard,2015,22216,21696,520
Heerhugowaard,2016,22311,21894,417
Heerhugowaard,2017,22743,22276,467
Heerhugowaard,2018,23216,22674,542
Heerhugowaard,2019,23411,22972,439
Heerhugowaard,2020,23913,23357,556
Heerhugowaard,2021,24439,23913,526
Heerhugowaard,2022,,,
Heerhugowaard,2023,,,
Heerlen,2012,45243,42473,2770
Heerlen,2013,45326,42508,2818
Heerlen,2014,45373,42469,2904
Heerlen,2015,45169,42569,2600
Heerlen,2016,45227,42744,2483
Heerlen,2017,45619,43165,2454
Heerlen,2018,45758,43314,2444
Heerlen,2019,45834,43460,2374
Heerlen,2020,45976,43586,2390
Heerlen,2021,45982,43659,2323
Heerlen,2022,46271,43920,2351
Heerlen,2023,46474,43972,2502
Heeze-Leende,2012,6341,6018,323
Heeze-Leende,2013,6424,6092,332
Heeze-Leende,2014,6518,6181,337
Heeze-Leende,2015,6558,6239,319
Heeze-Leende,2016,6628,6344,284
Heeze-Leende,2017,6655,6387,268
Heeze-Leende,2018,6772,6461,311
Heeze-Leende,2019,6817,6526,291
Heeze-Leende,2020,6861,6603,258
Heeze-Leende,2021,6925,6652,273
Heeze-Leende,2022,7036,6781,255
Heeze-Leende,2023,7095,6841,254
Heiloo,2012,9862,9460,402
Heiloo,2013,9905,9486,419
Heiloo,2014,10075,9681,394
Heiloo,2015,10207,9738,469
Heiloo,2016,10233,9848,385
Heiloo,2017,10366,9996,370
Heiloo,2018,10528,10090,438
Heiloo,2019,10574,10225,349
Heiloo,2020,10775,10417,358
Heiloo,2021,10939,10576,363
Heiloo,2022,11096,10750,346
Heiloo,2023,11123,10746,377
Den Helder,2012,26990,25681,1309
Den Helder,2013,27138,25662,1476
Den Helder,2014,27689,25855,1834
Den Helder,2015,27869,26228,1641
Den Helder,2016,27939,26355,1584
Den Helder,2017,27986,26410,1576
Den Helder,2018,27988,26470,1518
Den Helder,2019,28056,26610,1446
Den Helder,2020,28213,26806,1407
Den Helder,2021,28390,27022,1368
Den Helder,2022,28401,27117,1284
Den Helder,2023,28518,27216,1302
Hellendoorn,2012,14319,13710,609
Hellendoorn,2013,14359,13845,514
Hellendoorn,2014,14371,13903,468
Hellendoorn,2015,14414,13978,436
Hellendoorn,2016,14526,14127,399
Hellendoorn,2017,14593,14202,391
Hellendoorn,2018,14645,14280,365
Hellendoorn,2019,14734,14353,381
Hellendoorn,2020,14889,14484,405
Hellendoorn,2021,14959,14553,406
Hellendoorn,2022,15032,14632,400
Hellendoorn,2023,15061,14668,393
Hellevoetsluis,2012,17131,16525,606
Hellevoetsluis,2013,17241,16563,678
Hellevoetsluis,2014,17249,16623,626
Hellevoetsluis,2015,17298,16678,620
Hellevoetsluis,2016,17305,16709,596
Hellevoetsluis,2017,17377,16812,565
Hellevoetsluis,2018,17925,17405,520
Hellevoetsluis,2019,17907,17424,483
Hellevoetsluis,2020,17967,17454,513
Hellevoetsluis,2021,18067,17522,545
Hellevoetsluis,2022,18113,17593,520
Hellevoetsluis,2023,,,
Helmond,2012,38363,36968,1395
Helmond,2013,38662,37214,1448
Helmond,2014,39072,37616,1456
Helmond,2015,39162,37955,1207
Helmond,2016,39407,38289,1118
Helmond,2017,39533,38484,1049
Helmond,2018,39798,38762,1036
Helmond,2019,40319,39204,1115
Helmond,2020,40788,39733,1055
Helmond,2021,41222,40108,1114
Helmond,2022,41885,40763,1122
Helmond,2023,42337,41215,1122
Hendrik-Ido-Ambacht,2012,11585,10818,767
Hendrik-Ido-Ambacht,2013,11392,10944,448
Hendrik-Ido-Ambacht,2014,11533,11129,404
Hendrik-Ido-Ambacht,2015,11640,11272,368
Hendrik-Ido-Ambacht,2016,11725,11373,352
Hendrik-Ido-Ambacht,2017,11842,11487,355
Hendrik-Ido-Ambacht,2018,12141,11842,299
Hendrik-Ido-Ambacht,2019,12214,11954,260
Hendrik-Ido-Ambacht,2020,12314,12038,276
Hendrik-Ido-Ambacht,2021,12332,12083,249
Hendrik-Ido-Ambacht,2022,12613,12298,315
Hendrik-Ido-Ambacht,2023,12725,12436,289
Hengelo (O.),2012,37131,35251,1880
Hengelo (O.),2013,37284,35512,1772
Hengelo (O.),2014,37625,35836,1789
Hengelo (O.),2015,37718,36064,1654
Hengelo (O.),2016,37888,36145,1743
Hengelo (O.),2017,37908,36277,1631
Hengelo (O.),2018,38169,36487,1682
Hengelo (O.),2019,38373,36864,1509
Hengelo (O.),2020,38701,37248,1453
Hengelo (O.),2021,38903,37493,1410
Hengelo (O.),2022,39263,37895,1368
Hengelo (O.),2023,39523,38176,1347
's-Hertogenbosch,2012,63223,60816,2407
's-Hertogenbosch,2013,64413,62031,2382
's-Hertogenbosch,2014,65174,62933,2241
's-Hertogenbosch,2015,68962,66219,2743
's-Hertogenbosch,2016,69726,66978,2748
's-Hertogenbosch,2017,70255,67492,2763
's-Hertogenbosch,2018,71196,68529,2667
's-Hertogenbosch,2019,72003,69369,2634
's-Hertogenbosch,2020,72991,70360,2631
's-Hertogenbosch,2021,73424,70900,2524
's-Hertogenbosch,2022,74215,71895,2320
's-Hertogenbosch,2023,75246,72634,2612
Heumen,2012,6700,6481,219
Heumen,2013,6713,6537,176
Heumen,2014,6729,6572,157
Heumen,2015,6945,6759,186
Heumen,2016,6991,6824,167
Heumen,2017,7064,6911,153
Heumen,2018,7123,6945,178
Heumen,2019,7160,7004,156
Heumen,2020,7206,7024,182
Heumen,2021,7274,7110,164
Heumen,2022,7320,7195,125
Heumen,2023,7379,7227,152
Heusden,2012,17748,17084,664
Heusden,2013,17874,17260,614
Heusden,2014,18050,17475,575
Heusden,2015,18199,17580,619
Heusden,2016,18281,17695,586
Heusden,2017,18352,17779,573
Heusden,2018,18523,17938,585
Heusden,2019,18759,18201,558
Heusden,2020,19193,18573,620
Heusden,2021,19357,18812,545
Heusden,2022,19589,19095,494
Heusden,2023,19761,19177,584
Hillegom,2012,8978,8596,382
Hillegom,2013,9163,8747,416
Hillegom,2014,9297,8916,381
Hillegom,2015,9399,9017,382
Hillegom,2016,9398,9055,343
Hillegom,2017,9419,9146,273
Hillegom,2018,9681,9419,262
Hillegom,2019,9766,9480,286
Hillegom,2020,9849,9593,256
Hillegom,2021,9863,9587,276
Hillegom,2022,9990,9723,267
Hillegom,2023,10124,9788,336
Hilvarenbeek,2012,6115,5753,362
Hilvarenbeek,2013,6176,5812,364
Hilvarenbeek,2014,6289,5895,394
Hilvarenbeek,2015,6297,5944,353
Hilvarenbeek,2016,6476,6121,355
Hilvarenbeek,2017,6493,6230,263
Hilvarenbeek,2018,6522,6252,270
Hilvarenbeek,2019,6591,6302,289
Hilvarenbeek,2020,6724,6446,278
Hilvarenbeek,2021,6865,6576,289
Hilvarenbeek,2022,6955,6677,278
Hilvarenbeek,2023,7030,6748,282
Hilversum,2012,38937,36945,1992
Hilversum,2013,39673,37396,2277
Hilversum,2014,40667,38429,2238
Hilversum,2015,40861,38698,2163
Hilversum,2016,41123,39108,2015
Hilversum,2017,41638,39591,2047
Hilversum,2018,41942,40033,1909
Hilversum,2019,42324,40315,2009
Hilversum,2020,42676,40705,1971
Hilversum,2021,42979,41023,1956
Hilversum,2022,43398,41397,2001
Hilversum,2023,43618,41652,1966
Hoeksche Waard,2012,,,
Hoeksche Waard,2013,,,
Hoeksche Waard,2014,,,
Hoeksche Waard,2015,,,
Hoeksche Waard,2016,,,
Hoeksche Waard,2017,,,
Hoeksche Waard,2018,,,
Hoeksche Waard,2019,37542,36237,1305
Hoeksche Waard,2020,37821,36721,1100
Hoeksche Waard,2021,38203,37074,1129
Hoeksche Waard,2022,38643,37585,1058
Hoeksche Waard,2023,39026,37906,1120
Hof van Twente,2012,14642,13800,842
Hof van Twente,2013,14655,13918,737
Hof van Twente,2014,14790,13986,804
Hof van Twente,2015,14903,14177,726
Hof van Twente,2016,14868,14264,604
Hof van Twente,2017,14969,14405,564
Hof van Twente,2018,15054,14480,574
Hof van Twente,2019,15122,14538,584
Hof van Twente,2020,15211,14643,568
Hof van Twente,2021,15279,14694,585
Hof van Twente,2022,15351,14742,609
Hof van Twente,2023,15428,14781,647
Het Hogeland,2012,,,
Het Hogeland,2013,,,
Het Hogeland,2014,,,
Het Hogeland,2015,,,
Het Hogeland,2016,,,
Het Hogeland,2017,,,
Het Hogeland,2018,,,
Het Hogeland,2019,22631,21225,1406
Het Hogeland,2020,22743,21371,1372
Het Hogeland,2021,22878,21590,1288
Het Hogeland,2022,22979,21680,1299
Het Hogeland,2023,22813,21668,1145
Hollands Kroon,2012,20011,19189,822
Hollands Kroon,2013,20184,19284,900
Hollands Kroon,2014,20445,19535,910
Hollands Kroon,2015,20543,19654,889
Hollands Kroon,2016,20554,19691,863
Hollands Kroon,2017,20616,19743,873
Hollands Kroon,2018,20689,19814,875
Hollands Kroon,2019,20786,19894,892
Hollands Kroon,2020,20882,19971,911
Hollands Kroon,2021,20988,20151,837
Hollands Kroon,2022,21208,20431,777
Hollands Kroon,2023,21452,20613,839
Hoogeveen,2012,23279,22487,792
Hoogeveen,2013,23398,22577,821
Hoogeveen,2014,24275,23160,1115
Hoogeveen,2015,24443,23318,1125
Hoogeveen,2016,24504,23479,1025
Hoogeveen,2017,24684,23684,1000
Hoogeveen,2018,24867,23877,990
Hoogeveen,2019,25147,24090,1057
Hoogeveen,2020,25236,24166,1070
Hoogeveen,2021,25496,24413,1083
Hoogeveen,2022,25669,24585,1084
Hoogeveen,2023,25775,24672,1103
Hoogezand-Sappemeer,2012,16379,15172,1207
Hoogezand-Sappemeer,2013,15814,15217,597
Hoogezand-Sappemeer,2014,15769,15220,549
Hoogezand-Sappemeer,2015,15908,15352,556
Hoogezand-Sappemeer,2016,15971,15458,513
Hoogezand-Sappemeer,2017,16016,15523,493
Hoogezand-Sappemeer,2018,,,
Hoogezand-Sappemeer,2019,,,
Hoogezand-Sappemeer,2020,,,
Hoogezand-Sappemeer,2021,,,
Hoogezand-Sappemeer,2022,,,
Hoogezand-Sappemeer,2023,,,
Hoorn,2012,30947,30112,835
Hoorn,2013,31354,30438,916
Hoorn,2014,31943,31008,935
Hoorn,2015,32226,31266,960
Hoorn,2016,32423,31459,964
Hoorn,2017,32640,31747,893
Hoorn,2018,32783,31890,893
Hoorn,2019,32744,32005,739
Hoorn,2020,33086,32189,897
Hoorn,2021,33656,32579,1077
Hoorn,2022,33983,33053,930
Hoorn,2023,34330,33392,938
Horst aan de Maas,2012,16594,15934,660
Horst aan de Maas,2013,16797,16143,654
Horst aan de Maas,2014,17116,16432,684
Horst aan de Maas,2015,17256,16565,691
Horst aan de Maas,2016,17431,16739,692
Horst aan de Maas,2017,17480,16950,530
