period,region,mean_value
2008,Leiderdorp,268.0
2009,Leiderdorp,275.0
2010,Leiderdorp,273.0
2011,Leiderdorp,262.0
2012,Leiderdorp,258.0
2013,Leiderdorp,248.0
2014,Leiderdorp,239.0
2015,Leiderdorp,235.0
2016,Leiderdorp,239.0
2017,Leiderdorp,243.0
2018**,Leiderdorp,258.0
2019*,Leiderdorp,281.0
2020*,Leiderdorp,302.0
1997,Leidschendam,101.0
1998,Leidschendam,102.0
1999,Leidschendam,104.0
2000,Leidschendam,101.0
2001,Leidschendam,145.0
2002,Leidschendam,
2003,Leidschendam,
2004,Leidschendam,
2005,Leidschendam,
2006,Leidschendam,
2007,Leidschendam,
2008,Leidschendam,
2009,Leidschendam,
2010,Leidschendam,
2011,Leidschendam,
2012,Leidschendam,
2013,Leidschendam,
2014,Leidschendam,
2015,Leidschendam,
2016,Leidschendam,
2017,Leidschendam,
2018**,Leidschendam,
2019*,Leidschendam,
2020*,Leidschendam,
1997,Leidschendam-Voorburg,
1998,Leidschendam-Voorburg,
1999,Leidschendam-Voorburg,
2000,Leidschendam-Voorburg,
2001,Leidschendam-Voorburg,
2002,Leidschendam-Voorburg,139.0
2003,Leidschendam-Voorburg,140.0
2004,Leidschendam-Voorburg,141.0
2005,Leidschendam-Voorburg,215.0
2006,Leidschendam-Voorburg,217.0
2007,Leidschendam-Voorburg,239.0
2008,Leidschendam-Voorburg,250.0
2009,Leidschendam-Voorburg,260.0
2010,Leidschendam-Voorburg,262.0
2011,Leidschendam-Voorburg,259.0
2012,Leidschendam-Voorburg,251.0
2013,Leidschendam-Voorburg,243.0
2014,Leidschendam-Voorburg,230.0
2015,Leidschendam-Voorburg,228.0
2016,Leidschendam-Voorburg,231.0
2017,Leidschendam-Voorburg,242.0
2018**,Leidschendam-Voorburg,248.0
2019*,Leidschendam-Voorburg,274.0
2020*,Leidschendam-Voorburg,293.0
1997,Lelystad,58.0
1998,Lelystad,58.0
1999,Lelystad,60.0
2000,Lelystad,60.0
2001,Lelystad,95.0
2002,Lelystad,97.0
2003,Lelystad,99.0
2004,Lelystad,101.0
2005,Lelystad,166.0
2006,Lelystad,168.0
2007,Lelystad,177.0
2008,Lelystad,189.0
2009,Lelystad,193.0
2010,Lelystad,191.0
2011,Lelystad,186.0
2012,Lelystad,180.0
2013,Lelystad,172.0
2014,Lelystad,165.0
2015,Lelystad,159.0
2016,Lelystad,159.0
2017,Lelystad,163.0
2018**,Lelystad,169.0
2019*,Lelystad,188.0
2020*,Lelystad,209.0
1997,Lemsterland,58.0
1998,Lemsterland,60.0
1999,Lemsterland,62.0
2000,Lemsterland,63.0
2001,Lemsterland,112.0
2002,Lemsterland,115.0
2003,Lemsterland,116.0
2004,Lemsterland,116.0
2005,Lemsterland,181.0
2006,Lemsterland,183.0
2007,Lemsterland,205.0
2008,Lemsterland,224.0
2009,Lemsterland,233.0
2010,Lemsterland,232.0
2011,Lemsterland,231.0
2012,Lemsterland,227.0
2013,Lemsterland,217.0
2014,Lemsterland,
2015,Lemsterland,
2016,Lemsterland,
2017,Lemsterland,
2018**,Lemsterland,
2019*,Lemsterland,
2020*,Lemsterland,
1997,Leudal,
1998,Leudal,
1999,Leudal,
2000,Leudal,
2001,Leudal,
2002,Leudal,
2003,Leudal,
2004,Leudal,
2005,Leudal,
2006,Leudal,
2007,Leudal,222.0
2008,Leudal,232.0
2009,Leudal,237.0
2010,Leudal,231.0
2011,Leudal,228.0
2012,Leudal,227.0
2013,Leudal,220.0
2014,Leudal,212.0
2015,Leudal,206.0
2016,Leudal,208.0
2017,Leudal,213.0
2018**,Leudal,221.0
2019*,Leudal,231.0
2020*,Leudal,245.0
1997,Leusden,103.0
1998,Leusden,104.0
1999,Leusden,104.0
2000,Leusden,105.0
2001,Leusden,174.0
2002,Leusden,174.0
2003,Leusden,175.0
2004,Leusden,175.0
2005,Leusden,251.0
2006,Leusden,252.0
2007,Leusden,263.0
2008,Leusden,285.0
2009,Leusden,303.0
2010,Leusden,308.0
2011,Leusden,305.0
2012,Leusden,298.0
2013,Leusden,285.0
2014,Leusden,268.0
2015,Leusden,264.0
2016,Leusden,264.0
2017,Leusden,274.0
2018**,Leusden,292.0
2019*,Leusden,317.0
2020*,Leusden,337.0
1997,Lichtenvoorde,96.0
1998,Lichtenvoorde,96.0
1999,Lichtenvoorde,97.0
2000,Lichtenvoorde,97.0
2001,Lichtenvoorde,143.0
2002,Lichtenvoorde,
2003,Lichtenvoorde,
2004,Lichtenvoorde,
2005,Lichtenvoorde,
2006,Lichtenvoorde,
2007,Lichtenvoorde,
2008,Lichtenvoorde,
2009,Lichtenvoorde,
2010,Lichtenvoorde,
2011,Lichtenvoorde,
2012,Lichtenvoorde,
2013,Lichtenvoorde,
2014,Lichtenvoorde,
2015,Lichtenvoorde,
2016,Lichtenvoorde,
2017,Lichtenvoorde,
2018**,Lichtenvoorde,
2019*,Lichtenvoorde,
2020*,Lichtenvoorde,
1997,Liemeer,104.0
1998,Liemeer,104.0
1999,Liemeer,105.0
2000,Liemeer,105.0
2001,Liemeer,165.0
2002,Liemeer,165.0
2003,Liemeer,166.0
2004,Liemeer,166.0
2005,Liemeer,245.0
2006,Liemeer,250.0
2007,Liemeer,
2008,Liemeer,
2009,Liemeer,
2010,Liemeer,
2011,Liemeer,
2012,Liemeer,
2013,Liemeer,
2014,Liemeer,
2015,Liemeer,
2016,Liemeer,
2017,Liemeer,
2018**,Liemeer,
2019*,Liemeer,
2020*,Liemeer,
1997,Lienden,109.0
1998,Lienden,110.0
1999,Lienden,
2000,Lienden,
2001,Lienden,
2002,Lienden,
2003,Lienden,
2004,Lienden,
2005,Lienden,
2006,Lienden,
2007,Lienden,
2008,Lienden,
2009,Lienden,
2010,Lienden,
2011,Lienden,
2012,Lienden,
2013,Lienden,
2014,Lienden,
2015,Lienden,
2016,Lienden,
2017,Lienden,
2018**,Lienden,
2019*,Lienden,
2020*,Lienden,
1997,De Lier,98.0
1998,De Lier,99.0
1999,De Lier,100.0
2000,De Lier,101.0
2001,De Lier,149.0
2002,De Lier,
2003,De Lier,
2004,De Lier,
2005,De Lier,
2006,De Lier,
2007,De Lier,
2008,De Lier,
2009,De Lier,
2010,De Lier,
2011,De Lier,
2012,De Lier,
2013,De Lier,
2014,De Lier,
2015,De Lier,
2016,De Lier,
2017,De Lier,
2018**,De Lier,
2019*,De Lier,
2020*,De Lier,
1997,Liesveld,97.0
1998,Liesveld,97.0
1999,Liesveld,97.0
2000,Liesveld,97.0
2001,Liesveld,147.0
2002,Liesveld,147.0
2003,Liesveld,148.0
2004,Liesveld,148.0
2005,Liesveld,229.0
2006,Liesveld,228.0
2007,Liesveld,248.0
2008,Liesveld,265.0
2009,Liesveld,277.0
2010,Liesveld,277.0
2011,Liesveld,271.0
2012,Liesveld,269.0
2013,Liesveld,
2014,Liesveld,
2015,Liesveld,
2016,Liesveld,
2017,Liesveld,
2018**,Liesveld,
2019*,Liesveld,
2020*,Liesveld,
1997,Limmen,132.0
1998,Limmen,133.0
1999,Limmen,134.0
2000,Limmen,135.0
2001,Limmen,185.0
2002,Limmen,
2003,Limmen,
2004,Limmen,
2005,Limmen,
2006,Limmen,
2007,Limmen,
2008,Limmen,
2009,Limmen,
2010,Limmen,
2011,Limmen,
2012,Limmen,
2013,Limmen,
2014,Limmen,
2015,Limmen,
2016,Limmen,
2017,Limmen,
2018**,Limmen,
2019*,Limmen,
2020*,Limmen,
1997,Lingewaal,100.0
1998,Lingewaal,100.0
1999,Lingewaal,100.0
2000,Lingewaal,100.0
2001,Lingewaal,152.0
2002,Lingewaal,153.0
2003,Lingewaal,154.0
2004,Lingewaal,155.0
2005,Lingewaal,244.0
2006,Lingewaal,246.0
2007,Lingewaal,271.0
2008,Lingewaal,296.0
2009,Lingewaal,300.0
2010,Lingewaal,303.0
2011,Lingewaal,297.0
2012,Lingewaal,293.0
2013,Lingewaal,285.0
2014,Lingewaal,266.0
2015,Lingewaal,255.0
2016,Lingewaal,252.0
2017,Lingewaal,247.0
2018**,Lingewaal,252.0
2019*,Lingewaal,
2020*,Lingewaal,
1997,Lingewaard,
1998,Lingewaard,
1999,Lingewaard,
2000,Lingewaard,
2001,Lingewaard,
2002,Lingewaard,
2003,Lingewaard,149.0
2004,Lingewaard,151.0
2005,Lingewaard,228.0
2006,Lingewaard,228.0
2007,Lingewaard,245.0
2008,Lingewaard,257.0
2009,Lingewaard,266.0
2010,Lingewaard,263.0
2011,Lingewaard,257.0
2012,Lingewaard,248.0
2013,Lingewaard,240.0
2014,Lingewaard,233.0
2015,Lingewaard,223.0
2016,Lingewaard,224.0
2017,Lingewaard,230.0
2018**,Lingewaard,240.0
2019*,Lingewaard,258.0
2020*,Lingewaard,272.0
1997,Lisse,96.0
1998,Lisse,97.0
1999,Lisse,98.0
2000,Lisse,100.0
2001,Lisse,156.0
2002,Lisse,157.0
2003,Lisse,159.0
2004,Lisse,157.0
2005,Lisse,221.0
2006,Lisse,222.0
2007,Lisse,245.0
2008,Lisse,266.0
2009,Lisse,279.0
2010,Lisse,287.0
2011,Lisse,283.0
2012,Lisse,275.0
2013,Lisse,264.0
2014,Lisse,249.0
2015,Lisse,241.0
2016,Lisse,243.0
2017,Lisse,248.0
2018**,Lisse,258.0
2019*,Lisse,278.0
2020*,Lisse,307.0
1997,Lith,76.0
1998,Lith,76.0
1999,Lith,76.0
2000,Lith,78.0
2001,Lith,188.0
2002,Lith,189.0
2003,Lith,190.0
2004,Lith,191.0
2005,Lith,282.0
2006,Lith,282.0
2007,Lith,306.0
2008,Lith,330.0
2009,Lith,338.0
2010,Lith,342.0
2011,Lith,
2012,Lith,
2013,Lith,
2014,Lith,
2015,Lith,
2016,Lith,
2017,Lith,
2018**,Lith,
2019*,Lith,
2020*,Lith,
1997,Littenseradiel,63.0
1998,Littenseradiel,64.0
1999,Littenseradiel,65.0
2000,Littenseradiel,65.0
2001,Littenseradiel,106.0
2002,Littenseradiel,106.0
2003,Littenseradiel,107.0
2004,Littenseradiel,107.0
2005,Littenseradiel,170.0
2006,Littenseradiel,169.0
2007,Littenseradiel,187.0
2008,Littenseradiel,204.0
2009,Littenseradiel,211.0
2010,Littenseradiel,211.0
2011,Littenseradiel,210.0
2012,Littenseradiel,205.0
2013,Littenseradiel,197.0
2014,Littenseradiel,185.0
2015,Littenseradiel,181.0
2016,Littenseradiel,183.0
2017,Littenseradiel,187.0
2018**,Littenseradiel,
2019*,Littenseradiel,
2020*,Littenseradiel,
1997,Lochem,98.0
1998,Lochem,99.0
1999,Lochem,100.0
2000,Lochem,100.0
2001,Lochem,151.0
2002,Lochem,154.0
2003,Lochem,155.0
2004,Lochem,157.0
2005,Lochem,271.0
2006,Lochem,271.0
2007,Lochem,288.0
2008,Lochem,306.0
2009,Lochem,317.0
2010,Lochem,314.0
2011,Lochem,308.0
2012,Lochem,303.0
2013,Lochem,294.0
2014,Lochem,282.0
2015,Lochem,272.0
2016,Lochem,268.0
2017,Lochem,271.0
2018**,Lochem,283.0
2019*,Lochem,303.0
2020*,Lochem,325.0
1997,Loenen,134.0
1998,Loenen,133.0
1999,Loenen,133.0
2000,Loenen,133.0
2001,Loenen,235.0
2002,Loenen,236.0
2003,Loenen,236.0
2004,Loenen,238.0
2005,Loenen,341.0
2006,Loenen,342.0
2007,Loenen,367.0
2008,Loenen,414.0
2009,Loenen,431.0
2010,Loenen,426.0
2011,Loenen,
2012,Loenen,
2013,Loenen,
2014,Loenen,
2015,Loenen,
2016,Loenen,
2017,Loenen,
2018**,Loenen,
2019*,Loenen,
2020*,Loenen,
1997,Loon op Zand,82.0
1998,Loon op Zand,83.0
1999,Loon op Zand,83.0
2000,Loon op Zand,83.0
2001,Loon op Zand,148.0
2002,Loon op Zand,149.0
2003,Loon op Zand,149.0
2004,Loon op Zand,150.0
2005,Loon op Zand,244.0
2006,Loon op Zand,245.0
2007,Loon op Zand,261.0
2008,Loon op Zand,279.0
2009,Loon op Zand,286.0
2010,Loon op Zand,287.0
2011,Loon op Zand,280.0
2012,Loon op Zand,270.0
2013,Loon op Zand,257.0
2014,Loon op Zand,242.0
2015,Loon op Zand,234.0
2016,Loon op Zand,235.0
2017,Loon op Zand,243.0
2018**,Loon op Zand,247.0
2019*,Loon op Zand,255.0
2020*,Loon op Zand,268.0
1997,Loosdrecht,144.0
1998,Loosdrecht,145.0
1999,Loosdrecht,145.0
2000,Loosdrecht,146.0
2001,Loosdrecht,238.0
2002,Loosdrecht,
2003,Loosdrecht,
2004,Loosdrecht,
2005,Loosdrecht,
2006,Loosdrecht,
2007,Loosdrecht,
2008,Loosdrecht,
2009,Loosdrecht,
2010,Loosdrecht,
2011,Loosdrecht,
2012,Loosdrecht,
2013,Loosdrecht,
2014,Loosdrecht,
2015,Loosdrecht,
2016,Loosdrecht,
2017,Loosdrecht,
2018**,Loosdrecht,
2019*,Loosdrecht,
2020*,Loosdrecht,
1997,Lopik,87.0
1998,Lopik,88.0
1999,Lopik,88.0
2000,Lopik,88.0
2001,Lopik,174.0
2002,Lopik,174.0
2003,Lopik,174.0
2004,Lopik,174.0
2005,Lopik,252.0
2006,Lopik,252.0
2007,Lopik,273.0
2008,Lopik,291.0
2009,Lopik,301.0
2010,Lopik,304.0
2011,Lopik,299.0
2012,Lopik,295.0
2013,Lopik,285.0
2014,Lopik,269.0
2015,Lopik,262.0
2016,Lopik,264.0
2017,Lopik,269.0
2018**,Lopik,274.0
2019*,Lopik,291.0
2020*,Lopik,306.0
1997,Loppersum,49.0
1998,Loppersum,50.0
1999,Loppersum,50.0
2000,Loppersum,50.0
2001,Loppersum,87.0
2002,Loppersum,87.0
2003,Loppersum,88.0
2004,Loppersum,88.0
2005,Loppersum,139.0
2006,Loppersum,140.0
2007,Loppersum,156.0
2008,Loppersum,171.0
2009,Loppersum,177.0
2010,Loppersum,177.0
2011,Loppersum,174.0
2012,Loppersum,171.0
2013,Loppersum,165.0
2014,Loppersum,152.0
2015,Loppersum,145.0
2016,Loppersum,143.0
2017,Loppersum,144.0
2018**,Loppersum,149.0
2019*,Loppersum,154.0
2020*,Loppersum,162.0
1997,Losser,74.0
1998,Losser,74.0
1999,Losser,74.0
2000,Losser,75.0
2001,Losser,136.0
2002,Losser,137.0
2003,Losser,137.0
2004,Losser,138.0
2005,Losser,213.0
2006,Losser,213.0
2007,Losser,224.0
2008,Losser,233.0
2009,Losser,235.0
2010,Losser,233.0
2011,Losser,226.0
2012,Losser,222.0
2013,Losser,216.0
2014,Losser,206.0
2015,Losser,202.0
2016,Losser,203.0
2017,Losser,204.0
2018**,Losser,216.0
2019*,Losser,229.0
2020*,Losser,243.0
1997,Maarn,138.0
1998,Maarn,138.0
1999,Maarn,138.0
2000,Maarn,138.0
2001,Maarn,219.0
2002,Maarn,
2003,Maarn,
2004,Maarn,
2005,Maarn,
2006,Maarn,
2007,Maarn,
2008,Maarn,
2009,Maarn,
2010,Maarn,
2011,Maarn,
2012,Maarn,
2013,Maarn,
2014,Maarn,
2015,Maarn,
2016,Maarn,
2017,Maarn,
2018**,Maarn,
2019*,Maarn,
2020*,Maarn,
1997,Maarssen,105.0
1998,Maarssen,104.0
1999,Maarssen,105.0
2000,Maarssen,105.0
2001,Maarssen,161.0
2002,Maarssen,162.0
2003,Maarssen,162.0
2004,Maarssen,163.0
2005,Maarssen,233.0
2006,Maarssen,232.0
2007,Maarssen,246.0
2008,Maarssen,262.0
2009,Maarssen,271.0
2010,Maarssen,276.0
2011,Maarssen,
2012,Maarssen,
2013,Maarssen,
2014,Maarssen,
2015,Maarssen,
2016,Maarssen,
2017,Maarssen,
2018**,Maarssen,
2019*,Maarssen,
2020*,Maarssen,
1997,Maartensdijk,137.0
1998,Maartensdijk,136.0
1999,Maartensdijk,136.0
2000,Maartensdijk,136.0
2001,Maartensdijk,
2002,Maartensdijk,
2003,Maartensdijk,
2004,Maartensdijk,
2005,Maartensdijk,
2006,Maartensdijk,
2007,Maartensdijk,
2008,Maartensdijk,
2009,Maartensdijk,
2010,Maartensdijk,
2011,Maartensdijk,
2012,Maartensdijk,
2013,Maartensdijk,
2014,Maartensdijk,
2015,Maartensdijk,
2016,Maartensdijk,
2017,Maartensdijk,
2018**,Maartensdijk,
2019*,Maartensdijk,
2020*,Maartensdijk,
1997,Maasbracht,91.0
1998,Maasbracht,91.0
1999,Maasbracht,91.0
2000,Maasbracht,91.0
2001,Maasbracht,142.0
2002,Maasbracht,142.0
2003,Maasbracht,143.0
2004,Maasbracht,143.0
2005,Maasbracht,193.0
2006,Maasbracht,193.0
2007,Maasbracht,
2008,Maasbracht,
2009,Maasbracht,
2010,Maasbracht,
2011,Maasbracht,
2012,Maasbracht,
2013,Maasbracht,
2014,Maasbracht,
2015,Maasbracht,
2016,Maasbracht,
2017,Maasbracht,
2018**,Maasbracht,
2019*,Maasbracht,
2020*,Maasbracht,
1997,Maasbree,105.0
1998,Maasbree,106.0
1999,Maasbree,106.0
2000,Maasbree,107.0
2001,Maasbree,153.0
2002,Maasbree,153.0
2003,Maasbree,154.0
2004,Maasbree,155.0
2005,Maasbree,212.0
2006,Maasbree,213.0
2007,Maasbree,234.0
2008,Maasbree,253.0
2009,Maasbree,259.0
2010,Maasbree,
2011,Maasbree,
2012,Maasbree,
2013,Maasbree,
2014,Maasbree,
2015,Maasbree,
2016,Maasbree,
2017,Maasbree,
2018**,Maasbree,
2019*,Maasbree,
2020*,Maasbree,
1997,Maasdonk,85.0
1998,Maasdonk,86.0
1999,Maasdonk,86.0
2000,Maasdonk,87.0
2001,Maasdonk,192.0
2002,Maasdonk,192.0
2003,Maasdonk,193.0
2004,Maasdonk,193.0
2005,Maasdonk,295.0
2006,Maasdonk,291.0
2007,Maasdonk,326.0
2008,Maasdonk,355.0
2009,Maasdonk,363.0
2010,Maasdonk,363.0
2011,Maasdonk,349.0
2012,Maasdonk,340.0
2013,Maasdonk,325.0
2014,Maasdonk,312.0
2015,Maasdonk,
2016,Maasdonk,
2017,Maasdonk,
2018**,Maasdonk,
2019*,Maasdonk,
2020*,Maasdonk,
1997,Maasdriel,91.0
1998,Maasdriel,90.0
1999,Maasdriel,88.0
2000,Maasdriel,87.0
2001,Maasdriel,165.0
2002,Maasdriel,165.0
2003,Maasdriel,165.0
2004,Maasdriel,166.0
2005,Maasdriel,271.0
2006,Maasdriel,270.0
2007,Maasdriel,287.0
2008,Maasdriel,307.0
2009,Maasdriel,313.0
2010,Maasdriel,311.0
2011,Maasdriel,306.0
2012,Maasdriel,292.0
2013,Maasdriel,280.0
2014,Maasdriel,265.0
2015,Maasdriel,253.0
2016,Maasdriel,255.0
2017,Maasdriel,255.0
2018**,Maasdriel,260.0
2019*,Maasdriel,271.0
2020*,Maasdriel,299.0
1997,Maasgouw,
1998,Maasgouw,
1999,Maasgouw,
2000,Maasgouw,
2001,Maasgouw,
2002,Maasgouw,
2003,Maasgouw,
2004,Maasgouw,
2005,Maasgouw,
2006,Maasgouw,
2007,Maasgouw,210.0
2008,Maasgouw,223.0
2009,Maasgouw,226.0
2010,Maasgouw,226.0
2011,Maasgouw,222.0
2012,Maasgouw,217.0
2013,Maasgouw,209.0
2014,Maasgouw,202.0
2015,Maasgouw,196.0
2016,Maasgouw,196.0
2017,Maasgouw,204.0
2018**,Maasgouw,207.0
2019*,Maasgouw,218.0
2020*,Maasgouw,236.0
1997,Maasland,115.0
1998,Maasland,115.0
1999,Maasland,116.0
2000,Maasland,117.0
2001,Maasland,186.0
2002,Maasland,
2003,Maasland,
2004,Maasland,
2005,Maasland,
2006,Maasland,
2007,Maasland,
2008,Maasland,
2009,Maasland,
2010,Maasland,
2011,Maasland,
2012,Maasland,
2013,Maasland,
2014,Maasland,
2015,Maasland,
2016,Maasland,
2017,Maasland,
2018**,Maasland,
2019*,Maasland,
2020*,Maasland,
1997,Maassluis,80.0
1998,Maassluis,80.0
1999,Maassluis,81.0
2000,Maassluis,82.0
2001,Maassluis,112.0
2002,Maassluis,113.0
2003,Maassluis,115.0
2004,Maassluis,116.0
2005,Maassluis,172.0
2006,Maassluis,173.0
2007,Maassluis,194.0
2008,Maassluis,210.0
2009,Maassluis,216.0
2010,Maassluis,214.0
2011,Maassluis,206.0
2012,Maassluis,203.0
2013,Maassluis,197.0
2014,Maassluis,186.0
2015,Maassluis,182.0
2016,Maassluis,185.0
2017,Maassluis,189.0
2018**,Maassluis,198.0
2019*,Maassluis,211.0
2020*,Maassluis,226.0
1997,Maastricht,77.0
1998,Maastricht,78.0
1999,Maastricht,78.0
2000,Maastricht,79.0
2001,Maastricht,126.0
2002,Maastricht,127.0
2003,Maastricht,128.0
2004,Maastricht,128.0
2005,Maastricht,177.0
2006,Maastricht,177.0
2007,Maastricht,189.0
2008,Maastricht,201.0
2009,Maastricht,206.0
2010,Maastricht,205.0
2011,Maastricht,201.0
2012,Maastricht,197.0
2013,Maastricht,188.0
2014,Maastricht,177.0
2015,Maastricht,174.0
2016,Maastricht,179.0
2017,Maastricht,184.0
2018**,Maastricht,196.0
2019*,Maastricht,207.0
2020*,Maastricht,224.0
1997,Made,90.0
1998,Made,90.0
1999,Made,
2000,Made,
2001,Made,
2002,Made,
2003,Made,
2004,Made,
2005,Made,
2006,Made,
2007,Made,
2008,Made,
2009,Made,
2010,Made,
2011,Made,
2012,Made,
2013,Made,
2014,Made,
2015,Made,
2016,Made,
2017,Made,
2018**,Made,
2019*,Made,
2020*,Made,
1997,Margraten,116.0
1998,Margraten,116.0
1999,Margraten,116.0
2000,Margraten,117.0
2001,Margraten,174.0
2002,Margraten,174.0
2003,Margraten,174.0
2004,Margraten,175.0
2005,Margraten,244.0
2006,Margraten,245.0
2007,Margraten,268.0
2008,Margraten,282.0
2009,Margraten,288.0
2010,Margraten,285.0
2011,Margraten,
2012,Margraten,
2013,Margraten,
2014,Margraten,
2015,Margraten,
2016,Margraten,
2017,Margraten,
2018**,Margraten,
2019*,Margraten,
2020*,Margraten,
1997,Markelo,102.0
1998,Markelo,100.0
1999,Markelo,102.0
2000,Markelo,102.0
2001,Markelo,
2002,Markelo,
2003,Markelo,
2004,Markelo,
2005,Markelo,
2006,Markelo,
2007,Markelo,
2008,Markelo,
2009,Markelo,
2010,Markelo,
2011,Markelo,
2012,Markelo,
2013,Markelo,
2014,Markelo,
2015,Markelo,
2016,Markelo,
2017,Markelo,
2018**,Markelo,
2019*,Markelo,
2020*,Markelo,
1997,De Marne,46.0
1998,De Marne,47.0
1999,De Marne,47.0
2000,De Marne,47.0
2001,De Marne,80.0
2002,De Marne,80.0
2003,De Marne,81.0
2004,De Marne,81.0
2005,De Marne,128.0
2006,De Marne,128.0
2007,De Marne,144.0
2008,De Marne,157.0
2009,De Marne,164.0
2010,De Marne,161.0
2011,De Marne,160.0
2012,De Marne,159.0
2013,De Marne,156.0
2014,De Marne,145.0
2015,De Marne,142.0
2016,De Marne,140.0
2017,De Marne,139.0
2018**,De Marne,142.0
2019*,De Marne,
2020*,De Marne,
1997,Marum,78.0
1998,Marum,78.0
1999,Marum,79.0
2000,Marum,80.0
2001,Marum,131.0
2002,Marum,132.0
2003,Marum,133.0
2004,Marum,136.0
2005,Marum,204.0
2006,Marum,205.0
2007,Marum,220.0
2008,Marum,244.0
2009,Marum,249.0
2010,Marum,246.0
2011,Marum,239.0
2012,Marum,234.0
2013,Marum,224.0
2014,Marum,215.0
2015,Marum,206.0
2016,Marum,209.0
2017,Marum,218.0
2018**,Marum,221.0
2019*,Marum,
2020*,Marum,
1997,Maurik,106.0
1998,Maurik,106.0
1999,Maurik,
2000,Maurik,
2001,Maurik,
2002,Maurik,
2003,Maurik,
2004,Maurik,
2005,Maurik,
2006,Maurik,
2007,Maurik,
2008,Maurik,
2009,Maurik,
2010,Maurik,
2011,Maurik,
2012,Maurik,
2013,Maurik,
2014,Maurik,
2015,Maurik,
2016,Maurik,
2017,Maurik,
2018**,Maurik,
2019*,Maurik,
2020*,Maurik,
1997,Medemblik,74.0
1998,Medemblik,78.0
1999,Medemblik,78.0
2000,Medemblik,78.0
2001,Medemblik,119.0
2002,Medemblik,120.0
2003,Medemblik,120.0
2004,Medemblik,121.0
2005,Medemblik,191.0
2006,Medemblik,193.0
2007,Medemblik,233.0
2008,Medemblik,245.0
2009,Medemblik,255.0
2010,Medemblik,262.0
2011,Medemblik,245.0
2012,Medemblik,241.0
2013,Medemblik,236.0
2014,Medemblik,218.0
2015,Medemblik,211.0
2016,Medemblik,212.0
2017,Medemblik,217.0
2018**,Medemblik,221.0
2019*,Medemblik,239.0
2020*,Medemblik,265.0
1997,Meerlo-Wanssum,98.0
1998,Meerlo-Wanssum,97.0
1999,Meerlo-Wanssum,99.0
2000,Meerlo-Wanssum,100.0
2001,Meerlo-Wanssum,156.0
2002,Meerlo-Wanssum,157.0
2003,Meerlo-Wanssum,157.0
2004,Meerlo-Wanssum,158.0
2005,Meerlo-Wanssum,215.0
2006,Meerlo-Wanssum,216.0
2007,Meerlo-Wanssum,247.0
2008,Meerlo-Wanssum,257.0
2009,Meerlo-Wanssum,263.0
2010,Meerlo-Wanssum,
2011,Meerlo-Wanssum,
2012,Meerlo-Wanssum,
2013,Meerlo-Wanssum,
2014,Meerlo-Wanssum,
2015,Meerlo-Wanssum,
2016,Meerlo-Wanssum,
2017,Meerlo-Wanssum,
2018**,Meerlo-Wanssum,
2019*,Meerlo-Wanssum,
2020*,Meerlo-Wanssum,
1997,Meerssen,107.0
1998,Meerssen,107.0
1999,Meerssen,108.0
2000,Meerssen,108.0
2001,Meerssen,164.0
2002,Meerssen,164.0
2003,Meerssen,164.0
2004,Meerssen,165.0
2005,Meerssen,215.0
2006,Meerssen,216.0
2007,Meerssen,234.0
2008,Meerssen,251.0
2009,Meerssen,262.0
2010,Meerssen,260.0
2011,Meerssen,255.0
2012,Meerssen,249.0
2013,Meerssen,239.0
2014,Meerssen,225.0
2015,Meerssen,215.0
2016,Meerssen,221.0
2017,Meerssen,223.0
2018**,Meerssen,238.0
2019*,Meerssen,250.0
2020*,Meerssen,265.0
1997,Meierijstad,
1998,Meierijstad,
1999,Meierijstad,
2000,Meierijstad,
2001,Meierijstad,
2002,Meierijstad,
2003,Meierijstad,
2004,Meierijstad,
2005,Meierijstad,
2006,Meierijstad,
2007,Meierijstad,
2008,Meierijstad,
2009,Meierijstad,
2010,Meierijstad,
2011,Meierijstad,
2012,Meierijstad,
2013,Meierijstad,
2014,Meierijstad,
2015,Meierijstad,
2016,Meierijstad,
2017,Meierijstad,255.0
2018**,Meierijstad,260.0
2019*,Meierijstad,277.0
2020*,Meierijstad,289.0
1997,Meijel,101.0
1998,Meijel,101.0
1999,Meijel,101.0
2000,Meijel,102.0
2001,Meijel,160.0
2002,Meijel,162.0
2003,Meijel,162.0
2004,Meijel,165.0
2005,Meijel,234.0
2006,Meijel,232.0
2007,Meijel,252.0
2008,Meijel,267.0
2009,Meijel,279.0
2010,Meijel,
2011,Meijel,
2012,Meijel,
2013,Meijel,
2014,Meijel,
2015,Meijel,
2016,Meijel,
2017,Meijel,
2018**,Meijel,
2019*,Meijel,
2020*,Meijel,
1997,Menaldumadeel,57.0
1998,Menaldumadeel,57.0
1999,Menaldumadeel,58.0
2000,Menaldumadeel,59.0
2001,Menaldumadeel,99.0
2002,Menaldumadeel,100.0
2003,Menaldumadeel,100.0
2004,Menaldumadeel,101.0
2005,Menaldumadeel,160.0
2006,Menaldumadeel,161.0
2007,Menaldumadeel,175.0
2008,Menaldumadeel,190.0
2009,Menaldumadeel,194.0
2010,Menaldumadeel,191.0
2011,Menaldumadeel,
2012,Menaldumadeel,
2013,Menaldumadeel,
2014,Menaldumadeel,
2015,Menaldumadeel,
2016,Menaldumadeel,
2017,Menaldumadeel,
2018**,Menaldumadeel,
2019*,Menaldumadeel,
